2xhpnTyhinktiHD3JFdZOC,0.0125,0.384,0.921,0.108,0.152,0.446,0.0489,0,171.036,-3.609
3MTfE3Mo3lfwAymYLU2luX,0.0033,0.536,0.845,0,0.0465,0.6,0.0615,1,159.953,-5.765
4lE8AJsMIEMpXqEZlVVa4n,0.000466,0.473,0.749,5.5e-06,0.0883,0.172,0.0277,0,150.021,-5.047
5T38ywOoK6b29fpbTrhwx3,0.00108,0.367,0.877,1.08e-05,0.351,0.395,0.109,1,157.68,-3.92
3k0YJnqMKRZb8swo86vCkq,0.0282,0.691,0.77,0,0.497,0.344,0.0367,0,90.024,-4.578
0rUTQPibpskoXRrKjbGZjo,0.00115,0.373,0.871,0,0.4,0.201,0.0622,1,127.413,-3.706
3k0iCsB9pZJ86yVWwQ16jS,0.0326,0.472,0.903,2.71e-06,0.0664,0.449,0.131,1,119.014,-4.838
3G9fYjQGl3VVLREAYyQ1c3,0.00548,0.607,0.946,0.00039,0.278,0.653,0.15,1,120.011,-2.965
04nqh41iiGhpEDgAEoiuua,0.117,0.614,0.824,0.00716,0.338,0.172,0.0519,0,150.028,-4.963
0tyR7Bu9P086aWBFZ4QJoo,0.0493,0.369,0.845,0,0.416,0.782,0.0611,0,78.532,-3.449
0NZrY7Lc9g6V03hxRpfToV,0.000192,0.575,0.959,0,0.0515,0.642,0.108,0,110.973,-2.469
5XTKO227Jtu81Ni41Fi9Gj,0.0161,0.539,0.887,4.18e-06,0.267,0.448,0.037,1,100.017,-6.935
7fQox8Ere1HDm0jhSnsFHu,0.000103,0.462,0.99,0,0.374,0.204,0.211,0,137.061,-3.175
0EdYGWGB9PfKIm5MU0Mk6x,0.0247,0.518,0.838,0,0.349,0.688,0.0999,0,160.017,-5.4
1rMQspcZOdnHUwGuxzDufu,0.00319,0.654,0.78,0,0.243,0.378,0.114,0,118.057,-5.407
1FBereoGKCn8BKqKheYw1z,8.56e-05,0.409,0.943,0.105,0.0938,0.438,0.0598,1,131.899,-4.056
0Gz0WxGMpNkKYwI64VOfAF,0.00743,0.504,0.938,0,0.0741,0.612,0.0583,0,145.91,-2.696
2kFKIFc5RSTlhuGed6ZNZ7,0.000621,0.315,0.826,0.000669,0.0703,0.359,0.0644,0,139.163,-4.315
1TR1KgInMmVlpCI6QWg0Ze,0.000241,0.53,0.896,0.0222,0.271,0.543,0.04,0,128.005,-4.426
0sjOX1TrYGzbieHCizRiN2,0.00258,0.229,0.888,1.67e-06,0.365,0.268,0.097,0,156.254,-2.641
1R8N3HYvfzEEHekrgV3Kte,0.019,0.595,0.604,0.0162,0.156,0.254,0.0412,1,136.047,-8.09
2SD2zj8W5zKMdjCCJFF0vQ,7.61e-05,0.268,0.811,0.00122,0.0651,0.295,0.0409,1,101.041,-4.06
